Spotify ID,Title,Artist,Album,Release Date,Popularity,tempo,loudness,key,danceability,energy,speechiness,instrumentalness,movie_title,language,year
4b4xkbpRpA8jHbP8GVLYWR,Chandrullo Unde,Shankar Mahadevan,Nuvvostanante Nenoddantana,2005-01-14,0,[112.34714674],0.1700121,0.3580181,24.591478021155748,-128.41263,72.14023,0.09348343467226719,Nuvve Kavali,telugu,2000
3Gmq2pQZNo5TqrobE10WgA,Pari Poke Pitta,"Mallikarjun, Sagar",Nuvvostanante Nenoddantana,2005-01-14,0,[129.19921875],0.17647824,0.3985894,22.752623160328923,-109.45722,80.584015,0.09439050122359437,Nuvve Kavali,telugu,2000
6OJemp4sHmpogO2ieTATsq,Padam Kadala,Sagar,Nuvvostanante Nenoddantana,2005-01-14,0,[95.703125],0.19089246,0.3680808,22.89694120445474,-129.80273,112.94138,0.05731591813410091,Nuvve Kavali,telugu,2000
4FexaCwCrxQ9OErHZiLlWh,Adirey Adirey,"Jassie Gift, Kalpana",Nuvvostanante Nenoddantana,2005-01-14,0,[103.359375],0.21386361,0.3890634,22.683672931452982,-77.46034,81.76914,0.09107798710330896,Nuvve Kavali,telugu,2000
4PkDRdNvmzgGOTGDriJYl9,Pacific Lo,"Udit Narayan, Anuradha Sriram",Kalisundham Raa,2000,0,[107.66601562],0.23470214,0.40568513,22.077937263882955,-55.94971,60.76541,0.15322521223488267,Kalisundam Raa,telugu,2000
5kJhs0t3HbPRLHHwYgX5jQ,Nuvve Nuvve,"Hariharan, Sujatha",Kalisundham Raa,2000,0,[95.703125],0.22001389,0.3073255,24.178108996485783,-60.86263,64.41797,0.1283456084269849,Kalisundam Raa,telugu,2000
2B0amJgoY7stEY6oJN1MMM,Prema Prema,Unnikrishnan,Kalisundham Raa,2000,0,[92.28515625],0.19853581,0.34230727,24.799953138219674,-79.64826,75.22418,0.11221711736848455,Kalisundam Raa,telugu,2000
1wrueSOucZWdWjfXynJru7,Manasu Manasu,"S. P. Balasubrahmanyam, K. S. Chithra",Kalisundham Raa,2000,0,[89.10290948],0.20420669,0.3197445,23.520813776475407,-54.51863,77.56449,0.13230098284601208,Kalisundam Raa,telugu,2000
37M9kwKsYVUhPnERVQOB0A,Kalisunte Kaladu,Rajesh,Kalisundham Raa,2000,0,[92.28515625],0.22368965,0.33790782,23.888893228813192,-53.922962,62.785713,0.1302083874605088,Kalisundam Raa,telugu,2000
4jHt7Zz1Dt5yShKN6aCsyJ,Boom Boom,Shankar Mahadevan,Kalisundham Raa,2000,0,[99.38401442],0.22961703,0.48069367,21.459194979161197,-33.608936,62.528072,0.13725438041218432,Kalisundam Raa,telugu,2000
5Yj7EPLWT3xDcHbuFMvSIl,Vachchindhi,"S. P. Balasubrahmanyam, Swarnalatha",Kalisundham Raa,2000,0,[129.19921875],0.23546429,0.3837294,21.861631845457648,-24.237616,61.60839,0.14235411759709296,Kalisundam Raa,telugu,2000
1JLtM0dEzGsytDmvfzLAue,Nuvvasthanante,"K. S. Chithra, Raqeeb Alam",Varsham,2003-12-17,0,[129.19921875],0.13559124,0.36613324,23.23957275608142,-109.20951,39.72874,0.1628876456798904,Vamsi,telugu,2000
6WCVnARSUrBrfzod8oAAQ3,Mellaga,"S.P. Charan, Sumangaly",Varsham,2003-12-17,0,[161.49902344],0.21595299,0.40383616,23.559912228464682,-73.41087,73.91976,0.11562225071651429,Vamsi,telugu,2000
2AoaRGgJNslaNOxjj6AiBq,Langa Voni,"Tippu, Usha",Varsham,2003-12-17,0,[117.45383523],0.22572872,0.38729087,23.289878547922882,-63.391872,56.05948,0.13985193657704356,Vamsi,telugu,2000
7iGSgpDJhZ8I8yH8DnRAHx,Joole Joole,"Mallikarjun, Kalpana",Varsham,2003-12-17,0,[151.99908088],0.2380842,0.42804432,21.979146849273626,-35.353996,70.35975,0.13689281305030243,Vamsi,telugu,2000
1sISDngLLJBiXyl45bzeiL,Kopama Napina,"Karthik, Shreya Ghoshal",Varsham,2003-12-17,0,[103.359375],0.17916776,0.33451733,24.122757780740205,-116.90653,56.867867,0.12993444791168976,Vamsi,telugu,2000
29ffQxBUZLJdN3kiPndB9n,Neeti Mullai (Bit),"Sagar, Sumangaly",Varsham,2003-12-17,0,[103.359375],0.15943609,0.25884938,24.967295410249985,-186.31041,83.64583,0.05401701187358437,Vamsi,telugu,2000
1BftYfxjWNKjshPlkQaqe1,Nachave Nizam Pori,"Adnan Sami, Sunitha Rao",Varsham,2003-12-17,0,[107.66601562],0.21811396,0.37494475,23.48760069141521,-54.464146,47.79189,0.1509679261717309,Vamsi,telugu,2000
4ZcSJ6Wt6cVuyu0iyjuXrM,Manipuri Nadakalatho,"Shankar Mahadevan, K. S. Chithra",Kodanda Ramudu,2000-01-05,0,[107.66601562],0.19583514,0.4084317,22.383641548001165,-60.05049,87.70163,0.1169903833956383,Kodanda Ramudu,telugu,2000
2hYM562frFw8YXAdtF6tw7,Idhi Kakula,S. P. Balasubrahmanyam,Kodanda Ramudu,2000-01-05,0,[99.38401442],0.16854891,0.38384855,21.963060404153385,-94.85195,80.0539,0.1121278787119811,Kodanda Ramudu,telugu,2000
7CwI5itKFSHkoKwiHliK54,Kodanda Ramayyaku,"Sri Kumar, K. S. Chithra",Kodanda Ramudu,2000-01-05,0,[89.10290948],0.18316442,0.39342707,22.759556854940197,-75.903656,87.01636,0.12893838963762053,Kodanda Ramudu,telugu,2000
3vblP5rXAYj081HVqSvnBU,Ee Lahiri,"Udit Narayan, K. S. Chithra",Kodanda Ramudu,2000-01-05,0,[172.265625],0.18982069,0.3660002,22.226828183252792,-76.61412,85.13192,0.11058704162280505,Kodanda Ramudu,telugu,2000
0SttlghGiJEcQ3X88A6v4G,Mounica Mounica,"Shankar Mahadevan, K. S. Chithra",Kodanda Ramudu,2000-01-05,0,[107.66601562],0.1796085,0.40180242,22.892818595728556,-83.08134,80.25493,0.11311803961933045,Kodanda Ramudu,telugu,2000
0o3lwxZ8lHGReVgtp9qHLO,Sannajaji Theega,Sri Kumar,Kodanda Ramudu,2000-01-05,0,[172.265625],0.13324462,0.39605,23.335428238908015,-127.34615,95.98268,0.09442216096878343,Kodanda Ramudu,telugu,2000
2m1cgAK7J71XxIrKBDNxO3,Daayamma Daayi Daa Daa,"S. P. Balasubrahmanyam, K. S. Chithra",Chaala Bagundhi,1998,0,[107.66601562],0.16004744,0.30061847,22.546597263057855,-90.10716,85.87353,0.10398846813632573,Chala Bagundi,telugu,2000
4BP8jHRmc35kc46g5ISxnI,Dhaham Dhaham Dhaham,"S. P. Balasubrahmanyam, K. S. Chithra",Chaala Bagundhi,1998,0,[129.19921875],0.14375864,0.32630178,21.995441354727127,-114.98474,91.411224,0.09095314591350176,Chala Bagundi,telugu,2000
4VpJf2xbsRdBD1u2OzLXFw,Dhivi Dhari Veedi Ila Jaaripadi,"S. P. Balasubrahmanyam, Sangeetha",Chaala Bagundhi,1998,0,[99.38401442],0.16079769,0.3337481,23.511586975968942,-102.36681,79.74491,0.1177306879642832,Chala Bagundi,telugu,2000
